,id,object_name,chain,object_type,address,number,street,district
19,153644,американская лаборатория десертов,нет,кафе,"город Москва, Филипповский переулок, дом 15/5",20, Филипповский переулок,район Арбат
61,21214,столовая,нет,столовая,"город Москва, Бабаевская улица, дом 3",90, Бабаевская улица,район Сокольники
69,22139,хуанхэ,нет,ресторан,"город Москва, 1-й Балтийский переулок, дом 3/25",60, 1-й Балтийский переулок,район Аэропорт
81,25833,азербайджан,нет,ресторан,"город Москва, улица Демьяна Бедного, дом 4",180, улица Демьяна Бедного,район Хорошёво-Мнёвники
131,150881,вгик,нет,столовая,"город Москва, Будайская улица, дом 3",45, Будайская улица,район Ростокино
150,24155,советские времена,да,кафе,"город Москва, Варсонофьевский переулок, дом 6",82, Варсонофьевский переулок,Мещанский район
179,24646,угол,нет,кафе,"город Москва, Верхняя улица, дом 3, корпус 2",71, Верхняя улица,район Беговой
181,20632,бар в фитнес клубе,нет,бар,"город Москва, Глазовский переулок, дом 5",4, Глазовский переулок,район Хамовники
228,25090,ооо «театро»,нет,кафе,"город Москва, Воротниковский переулок, дом 11, строение 1",35, Воротниковский переулок,Тверской район
235,25487,сущевский дворик,нет,кафе,"город Москва, 2-й Вышеславцев переулок, дом 17",48, 2-й Вышеславцев переулок,район Марьина Роща
241,19821,столовая гбпоу зкно,нет,буфет,"город Москва, Гвардейская улица, дом 15, корпус 1",50, Гвардейская улица,Можайский район
251,27658,при школе 1294,нет,столовая,"город Москва, Глебовская улица, дом 10",240, Глебовская улица,район Богородское
308,27591,столовая школы 1254,нет,столовая,"город Москва, улица Девятая Рота, дом 14",160, улица Девятая Рота,район Преображенское
350,68203,ньокки,да,ресторан,"город Москва, улица Генерала Ермолова, дом 4",60, улица Генерала Ермолова,район Дорогомилово
352,25330,хижина,да,ресторан,"город Москва, улица Жебрунова, дом 4",120, улица Жебрунова,район Сокольники
354,28847,столовая спецшкола 9,нет,столовая,"город Москва, улица Бориса Жигулёнкова, дом 15",80, улица Бориса Жигулёнкова,район Соколиная Гора
359,22376,тратория,нет,кафе,"город Москва, улица Жуковского, дом 5",50, улица Жуковского,Басманный район
437,20733,пивной бар элефант,нет,бар,"город Москва, 2-й Колобовский переулок, дом 12",55, 2-й Колобовский переулок,Тверской район
463,152097,столовая при гбоу школа 171,нет,столовая,"город Москва, Кооперативная улица, дом 2, корпус 13",24, Кооперативная улица,район Хамовники
520,79517,прованс,нет,ресторан,"город Москва, 1-й Обыденский переулок, дом 9/12",40, 1-й Обыденский переулок,район Хамовники
522,79562,фидан,нет,ресторан,"город Москва, Кунцевская улица, дом 10",81, Кунцевская улица,район Кунцево
538,28857,кп мэи,нет,столовая,"город Москва, улица Лапина, дом 3",240, улица Лапина,район Лефортово
540,20804,волконский,да,магазин (отдел кулинарии),"город Москва, Малый Лёвшинский переулок, дом 14/9, строение 1",16, Малый Лёвшинский переулок,район Хамовники
627,24319,гивисациви,нет,кафе,"город Москва, Лужнецкий проезд, дом 1",95, Лужнецкий проезд,район Хамовники
642,153381,столовая при гбоу школа 57,нет,столовая,"город Москва, Малый Знаменский переулок, дом 7/10, строение 2",36, Малый Знаменский переулок,район Хамовники
711,21002,буфет техникума мпэ,нет,буфет,"город Москва, Мирской переулок, дом 5",30, Мирской переулок,Савёловский район
713,26252,ресторан «граф орлов»,нет,ресторан,"город Москва, 2-й Верхний Михайловский проезд, дом 2",90, 2-й Верхний Михайловский проезд,Донской район
737,24654,журфак,нет,кафе,"город Москва, Большой Афанасьевский переулок, дом 3, строение 3",49, Большой Афанасьевский переулок,район Хамовники
742,24601,хинкаль палас,нет,кафе,"город Москва, Нагорный бульвар, дом 5, корпус 1",40, Нагорный бульвар,район Котловка
756,137544,антикварный boutique & bar,нет,бар,"город Москва, Звонарский переулок, дом 5",30, Звонарский переулок,Мещанский район
757,69302,union jack,нет,бар,"город Москва, Нижний Кисельный переулок, дом 3, строение 1",30, Нижний Кисельный переулок,Мещанский район
