,id,object_name,chain,object_type,address,number,street,district
151,155973,кафе «андерсон»,да,кафе,"город Москва, Варшавское шоссе, дом 2",150, Варшавское шоссе,Донской район
152,23618,кафе «subway»,да,кафе,"город Москва, Варшавское шоссе, дом 7, корпус 1",36, Варшавское шоссе,Донской район
153,155852,кафе «ламаджо»,нет,кафе,"город Москва, Варшавское шоссе, дом 29",30, Варшавское шоссе,Донской район
154,152556,шаурма в пите,нет,предприятие быстрого обслуживания,"город Москва, Варшавское шоссе, дом 72, корпус 2",0, Варшавское шоссе,Не определен
155,120658,выпечка,нет,кафетерий,"город Москва, Варшавское шоссе, дом 100",2, Варшавское шоссе,Не определен
156,26279,ресторан «макдоналдс»,да,кафе,"город Москва, Варшавское шоссе, дом 143А",70, Варшавское шоссе,район Чертаново Южное
165,141687,пироговая рогова,нет,кафе,"город Москва, проспект Вернадского, дом 9/10",42, проспект Вернадского,Гагаринский район
166,148853,кафе контдитерская кузина,нет,кафе,"город Москва, проспект Вернадского, дом 11/19",5, проспект Вернадского,Ломоносовский район
167,149149,суши wok,да,кафе,"город Москва, проспект Вернадского, дом 11/19",8, проспект Вернадского,Ломоносовский район
168,128511,аморе,нет,кафе,"город Москва, проспект Вернадского, дом 11/19",10, проспект Вернадского,Ломоносовский район
169,24875,шоколад,да,кафе,"город Москва, проспект Вернадского, дом 11/19",50, проспект Вернадского,Ломоносовский район
170,143755,тирольские пироги,да,магазин (отдел кулинарии),"город Москва, проспект Вернадского, дом 13",10, проспект Вернадского,Ломоносовский район
172,23763,столовая «оп мгу кп мгу столовая 12»,нет,столовая,"город Москва, проспект Вернадского, дом 37",240, проспект Вернадского,район Проспект Вернадского
173,19716,буфет,нет,буфет,"город Москва, проспект Вернадского, дом 86, строение 1",40, проспект Вернадского,район Тропарёво-Никулино
174,69990,панорама 93,нет,ресторан,"город Москва, проспект Вернадского, дом 93",60, проспект Вернадского,район Тропарёво-Никулино
175,20147,кафе «пекарня «мюнгер»»,нет,кафе,"город Москва, проспект Вернадского, дом 97, корпус 1",30, проспект Вернадского,район Тропарёво-Никулино
176,19989,гудбар,нет,кафе,"город Москва, проспект Вернадского, дом 97, корпус 1",40, проспект Вернадского,район Тропарёво-Никулино
177,19761,бар «фитнес-бар»,нет,бар,"город Москва, проспект Вернадского, дом 103, корпус 1",24, проспект Вернадского,район Тропарёво-Никулино
178,19700,кафе «театр на юго-западе»,нет,кафе,"город Москва, проспект Вернадского, дом 125",20, проспект Вернадского,район Тропарёво-Никулино
295,22943,шёлковый путь,нет,ресторан,"город Москва, Кутузовский проспект, дом 71",90, Кутузовский проспект,район Фили-Давыдково
405,156324,чайхона 7-24,нет,кафе,"город Москва, Каширское шоссе, дом 5, корпус 1",40, Каширское шоссе,район Нагатино-Садовники
406,28118,фгуп гнпп регион,нет,столовая,"город Москва, Каширское шоссе, дом 13, корпус 1",200, Каширское шоссе,район Нагатино-Садовники
407,27289,ресторан «тануки»,да,ресторан,"город Москва, Каширское шоссе, дом 46, корпус 1",50, Каширское шоссе,район Москворечье-Сабурово
408,21227,столовая «гостиница мзп»,нет,столовая,"город Москва, Каширское шоссе, дом 56, корпус 2",24, Каширское шоссе,район Москворечье-Сабурово
409,21156,столовая «центра социальной защиты»,нет,столовая,"город Москва, Каширское шоссе, дом 60, корпус 2",40, Каширское шоссе,район Москворечье-Сабурово
429,28143,гостиница эмос,нет,столовая,"город Москва, Кировоградская улица, дом 11",20, Кировоградская улица,район Чертаново Центральное
430,28145,московский технический лицей,нет,столовая,"город Москва, Кировоградская улица, дом 11",240, Кировоградская улица,район Чертаново Центральное
431,29596,столовая рггу,нет,столовая,"город Москва, Кировоградская улица, дом 25, корпус 1",250, Кировоградская улица,район Чертаново Южное
